"pclass","sex","age","survived"
"2nd","male",29,0
"2nd","male",27,0
"2nd","male",24,1
"2nd","male",35,0
"2nd","female",31,1
"2nd","female",8,1
"2nd","female",22,0
"2nd","female",30,0
"2nd","male",20,0
"2nd","male",21,0
"2nd","female",49,1
"2nd","male",8,1
"2nd","female",28,1
"2nd","male",18,0
"2nd","male",28,0
"2nd","female",22,1
"2nd","male",25,0
"2nd","male",18,0
"2nd","female",32,1
"2nd","female",18,1
"2nd","male",42,0
"2nd","female",34,1
"2nd","male",8,1
"2nd","male",23,0
"2nd","male",21,0
"2nd","male",19,0
"2nd","male",38,0
"2nd","female",38,0
"2nd","male",35,0
"2nd","male",35,0
"2nd","male",38,0
"2nd","female",24,1
"2nd","male",16,0
"2nd","male",26,0
"2nd","male",45,0
"2nd","male",24,0
"2nd","male",21,0
"2nd","male",22,0
"2nd","male",34,0
"2nd","male",30,0
"2nd","male",50,0
"2nd","male",30,0
"2nd","female",23,1
"2nd","male",1,1
"2nd","male",44,0
"2nd","male",28,0
"2nd","female",6,1
"2nd","male",30,1
"2nd","male",43,0
"2nd","female",45,1
"2nd","female",7,1
"2nd","female",24,1
"2nd","female",24,1
"2nd","male",49,0
"2nd","female",48,1
"2nd","male",34,0
"2nd","male",32,0
"2nd","male",21,0
"2nd","female",18,0
"2nd","female",53,1
"2nd","male",23,0
"2nd","female",21,1
"2nd","male",52,0
"2nd","male",42,0
"2nd","female",36,1
"2nd","male",21,0
"2nd","male",41,1
"2nd","male",33,0
"2nd","female",17,1
"2nd","female",23,1
"2nd","male",34,0
"2nd","female",22,0
"2nd","female",45,1
"2nd","male",31,0
"2nd","male",30,0
"2nd","female",26,0
"2nd","female",34,1
"2nd","male",26,0
"2nd","female",22,1
"2nd","female",1,1
"2nd","female",3,1
"2nd","male",25,0
"2nd","male",48,0
"2nd","female",57,0
"2nd","male",2,1
"2nd","male",27,0
"2nd","female",19,1
"2nd","male",30,0
"2nd","male",20,0
"2nd","male",45,0
"2nd","male",46,0
"2nd","female",41,1
"2nd","female",13,1
"2nd","male",19,1
"2nd","male",30,0
"2nd","male",48,0
"2nd","male",71,0
"2nd","male",54,0
"2nd","male",64,0
"2nd","male",32,0
"2nd","female",18,1
"2nd","male",2,1
"2nd","male",32,0
"2nd","male",3,1
"2nd","male",26,0
"2nd","male",19,0
"2nd","male",20,1
"2nd","female",29,1
"2nd","male",39,0
"2nd","male",22,1
"2nd","male",24,0
"2nd","male",28,0
"2nd","female",50,1
"2nd","male",20,0
"2nd","male",40,0
"2nd","female",42,1
"2nd","male",21,0
"2nd","female",32,1
"2nd","male",34,0
"2nd","female",33,1
"2nd","female",2,1
"2nd","female",8,1
"2nd","male",36,0
"2nd","male",34,0
"2nd","female",30,1
"2nd","female",28,1
"2nd","male",23,0
"2nd","male",0.8333,1
"2nd","female",25,1
"2nd","male",3,1
"2nd","female",50,1
"2nd","female",21,1
"2nd","female",25,1
"2nd","female",18,1
"2nd","female",20,1
"2nd","female",30,1
"2nd","male",59,0
"2nd","female",30,1
"2nd","male",35,0
"2nd","male",22,0
"2nd","male",25,0
"2nd","male",41,0
"2nd","male",25,0
"2nd","male",14,0
"2nd","female",50,1
"2nd","male",22,0
"2nd","female",27,1
"2nd","male",29,0
"2nd","female",27,0
"2nd","male",30,0
"2nd","male",22,0
"2nd","female",35,1
"2nd","male",30,0
"2nd","female",28,1
"2nd","male",23,0
"2nd","female",12,1
"2nd","female",40,1
"2nd","female",36,1
"2nd","male",28,0
"2nd","female",32,1
"2nd","female",29,1
"2nd","female",4,1
"2nd","male",2,1
"2nd","male",36,0
"2nd","female",33,1
"2nd","male",32,1
"2nd","female",26,1
"2nd","male",30,0
"2nd","female",24,1
"2nd","male",18,0
"3rd","male",42,0
"3rd","male",13,0
"3rd","male",16,0
"3rd","female",35,1
"3rd","female",16,1
"3rd","male",25,1
"3rd","female",18,1
"3rd","male",20,1
"3rd","male",30,0
"3rd","male",26,0
"3rd","female",40,0
"3rd","male",24,0
"3rd","male",41,0
"3rd","female",18,1
"3rd","male",0.8333,1
"3rd","male",23,0
"3rd","male",20,0
"3rd","male",25,0
"3rd","male",35,0
"3rd","male",17,0
"3rd","male",32,0
"3rd","male",20,0
"3rd","male",39,0
"3rd","female",39,0
"3rd","female",6,0
"3rd","female",2,0
"3rd","female",17,1
"3rd","female",38,0
"3rd","female",9,0
"3rd","male",26,0
"3rd","female",11,0
"3rd","male",4,0
"3rd","male",20,0
"3rd","male",26,0
"3rd","male",25,0
"3rd","female",18,0
"3rd","male",24,0
"3rd","male",35,0
"3rd","male",40,0
"3rd","female",38,1
"3rd","male",5,0
"3rd","male",9,0
"3rd","male",3,1
"3rd","male",13,0
"3rd","male",23,1
"3rd","female",5,1
"3rd","female",45,1
"3rd","male",23,0
"3rd","female",17,0
"3rd","male",27,0
"3rd","male",23,0
"3rd","male",20,0
"3rd","male",32,0
"3rd","female",33,1
"3rd","female",3,1
"3rd","female",18,1
"3rd","male",40,0
"3rd","male",26,0
"3rd","female",15,1
"3rd","female",45,0
"3rd","female",18,0
"3rd","female",27,0
"3rd","male",22,0
"3rd","male",19,0
"3rd","male",26,0
"3rd","male",22,0
"3rd","male",20,0
"3rd","male",32,1
"3rd","male",21,0
"3rd","male",18,0
"3rd","male",26,0
"3rd","male",6,0
"3rd","female",9,0
"3rd","male",40,0
"3rd","female",32,0
"3rd","male",26,0
"3rd","female",18,1
"3rd","female",20,0
"3rd","male",29,0
"3rd","male",22,0
"3rd","male",22,0
"3rd","male",35,0
"3rd","male",21,1
"3rd","female",20,0
"3rd","male",19,0
"3rd","female",18,0
"3rd","male",18,0
"3rd","male",38,0
"3rd","male",30,0
"3rd","male",17,0
"3rd","female",21,0
"3rd","male",21,0
"3rd","male",21,0
"3rd","male",24,0
"3rd","male",33,0
"3rd","male",33,0
"3rd","male",28,0
"3rd","female",16,1
"3rd","female",37,0
"3rd","male",28,0
"3rd","male",24,0
"3rd","male",21,0
"3rd","male",32,0
"3rd","male",29,0
"3rd","male",26,0
"3rd","male",18,0
"3rd","male",20,0
"3rd","male",19,1
"3rd","male",24,0
"3rd","male",24,0
"3rd","male",36,0
"3rd","male",31,0
"3rd","male",31,0
"3rd","female",30,0
"3rd","female",22,1
"3rd","male",43,0
"3rd","male",35,0
"3rd","male",27,0
"3rd","male",19,0
"3rd","male",30,0
"3rd","female",36,1
"3rd","male",3,1
"3rd","male",9,1
"3rd","male",59,0
"3rd","male",19,0
"3rd","male",44,0
"3rd","female",17,1
"3rd","male",45,1
"3rd","female",22,0
"3rd","male",19,0
"3rd","male",29,1
"3rd","female",30,1
"3rd","male",34,0
"3rd","female",28,0
"3rd","male",0.3333,0
"3rd","male",27,0
"3rd","male",25,0
"3rd","male",24,0
"3rd","male",22,0
"3rd","male",21,0
"3rd","male",17,0
"3rd","male",26,0
"3rd","female",33,1
"3rd","male",1,1
"3rd","female",0.1667,1
"3rd","male",25,0
"3rd","male",36,1
"3rd","female",36,1
"3rd","male",30,1
"3rd","male",23,0
"3rd","male",26,0
"3rd","female",19,1
"3rd","male",65,0
"3rd","male",42,0
"3rd","male",43,0
"3rd","male",32,0
"3rd","male",19,1
"3rd","female",30,1
"3rd","female",24,0
"3rd","female",23,1
"3rd","female",24,1
"3rd","male",24,1
"3rd","male",23,0
"3rd","female",22,1
"3rd","male",18,0
"3rd","male",16,0
"3rd","male",45,0
"3rd","male",47,0
"3rd","female",5,1
"3rd","female",21,0
"3rd","male",18,0
"3rd","female",9,0
"3rd","female",48,0
"3rd","male",16,0
"3rd","male",25,0
"3rd","male",22,0
"3rd","female",16,1
"3rd","male",33,0
"3rd","male",9,1
"3rd","male",41,0
"3rd","male",38,0
"3rd","male",40,0
"3rd","female",43,0
"3rd","male",14,0
"3rd","female",16,0
"3rd","male",9,0
"3rd","female",10,0
"3rd","male",6,0
"3rd","male",11,0
"3rd","male",40,0
"3rd","male",32,0
"3rd","male",20,0
"3rd","male",37,0
"3rd","male",28,0
"3rd","male",19,0
